rank,score,institute_name_raw,institute_id,state,city,tlr,rpc,go,oi,perception,category,year,page_url,row_anchor,crawl_time,institute_name_norm
48,55.68,Kalasalingam Academy of Research and Education,IR-O-U-0458,Tamil Nadu,Krishnan Koil,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION
49,55.49,Lovely Professional University,IR-O-U-0379,Punjab,Phagwara,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,LOVELY PROFESSIONAL UNIVERSITY
50,55.38,Cochin University of Science and Technology,IR-O-U-0253,Kerala,Cochin,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY
51,55.32,Shanmugha Arts Science Technology & Research Academy,IR-O-U-0476,Tamil Nadu,Thanjavur,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,SHANMUGHA ARTS SCIENCE TECHNOLOGY & RESEARCH ACADEMY
52,55.27,Gauhati University,IR-O-U-0052,Assam,Guwahati,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,GAUHATI UNIVERSITY
53,55.24,Osmania University,IR-O-U-0027,Telangana,Hyderabad,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,OSMANIA UNIVERSITY
54,55.21,"National Institute of Technology Karnataka, Surathkal",IR-O-U-0237,Karnataka,Surathkal,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,NIT KARNATAKA SURATHKAL
55,54.9,Indian Institute of Science Education & Research Pune,IR-O-U-0305,Maharashtra,Pune,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IISC EDUCATION & RESEARCH PUNE
56,54.76,Indian Institute of Technology Ropar,IR-O-U-0378,Punjab,Rupnagar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT ROPAR
57,54.65,Panjab University,IR-O-U-0078,Chandigarh,Chandigarh,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,PANJAB UNIVERSITY
58,54.52,Indian Institute of Technology Mandi,IR-O-U-0184,Himachal Pradesh,Mandi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,IIT MANDI
59,54.31,University of Kashmir,IR-O-U-0196,Jammu and Kashmir,Srinagar,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,UNIVERSITY OF KASHMIR
60,54.28,"National Institute of Mental Health & Neuro Sciences, Bangalore",IR-O-U-0236,Karnataka,Bengaluru,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,NATIONAL INSTITUTE OF MENTAL HEALTH & NEURO SCIENCES BANGALORE
61,53.82,Bharathidasan University,IR-O-U-0448,Tamil Nadu,Tiruchirappalli,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,BHARATHIDASAN UNIVERSITY
62,53.74,Delhi Technological University,IR-O-U-0098,Delhi,New Delhi,,,,,,OVERALL,2025,https://www.nirfindia.org/Rankings/2025/OverallRanking.html,,2025-09-07T06:17:31Z,DELHI TECHNOLOGICAL UNIVERSITY
